Name,Marks
AK220217,205
AK220166,195
AK220127,195
AK220099,190
AK220622,175
AK220541,160
AK220252,145
AK220507,135
AK220125,130
AK220232,120
AK220143,100
AK220515,85
AK220493,85
AK220754,80
AK220755,80
AK220288,80
AK220565,70
AK220577,70
AK220700,70
AK220343,70
AK220524,70
AK220657,70
AK220070,70
AK220380,70
AK220242,70
AK220548,70
AK220068,65
AK220052,65
AK220600,60
AK220543,60
AK220607,60
AK220678,55
AK220396,55
AK220147,50
AK220389,50
AK220604,50
AK220508,50
AK220562,50
AK220528,45
AK220410,45
AK220531,45
AK220054,45
AK220417,45
AK220567,45
AK220462,45
AK220450,45
AK220441,45
AK220557,45
AK220098,40
AK220130,35
AK220371,35
AK220716,35
AK220212,35
AK220223,35
AK220301,35
AK220122,30
AK220591,25
AK220735,20
AK220151,20
AK220527,20
AK220519,20
AK220273,20
AK220091,20
AK220497,20
AK220703,20
AK220240,20
AK220449,20
AK220140,20
AK220391,20
AK220245,20
AK220332,20
AK220092,20
AK220671,20
AK220718,20
AK220071,20
AK220612,20
AK220727,20
AK220155,20
AK220145,20
AK220164,20
AK220073,20
AK220637,20
AK220639,20
AK220089,15
